Model,Accuracy,Precision,Recall,F1-Score
Logistic Regression (Default),0.9421487603305785,0.9321428571428572,0.9190140845070423,0.925531914893617
Logistic Regression (Tuned),0.9380165289256198,0.9314079422382672,0.9084507042253521,0.9197860962566845
Random Forest (Default),0.9201101928374655,0.9185185185185185,0.8732394366197183,0.8953068592057761
Random Forest (Tuned),0.9132231404958677,0.9169811320754717,0.8556338028169014,0.8852459016393442
